battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0.0519,1,0.16,1,0.07,1,0.51,0.03,0.132,0.4,0.19,0.055,0.0645,high,0.16,0.01,0.04,1,0,1,0.3
0.0956,0,0.05,0,0.01,1,0.41,0.1,0.143,0.7,0.06,0.0511,0.1075,high,0.17,0.08,0.12,1,1,0,0.3
0.1453,0,0.16,1,0.12,1,0.52,0.03,0.096,0.2,0.18,0.0187,0.1311,mid,0.1,0.01,0.1,1,1,1,0.2
0.0851,0,0.05,0,0.03,0,0.21,0.04,0.2,0.5,0.07,0.1171,0.1263,low,0.12,0.07,0.1,1,0,1,0.0
0.1579,1,0.05,1,0.0,0,0.05,0.02,0.088,0.7,0.09,0.1358,0.1739,high,0.17,0.11,0.12,1,0,1,0.3
0.1568,1,0.05,0,0.16,0,0.33,0.1,0.15,0.8,0.2,0.0413,0.0654,low,0.05,0.01,0.06,1,1,1,0.0
0.1319,1,0.09,0,0.03,1,0.41,0.09,0.107,0.1,0.18,0.0085,0.1152,mid,0.18,0.05,0.03,1,1,1,0.1
0.131,1,0.22000000000000003,1,0.0,1,0.51,0.06,0.1,0.4,0.0,0.0178,0.1919,high,0.07,0.0,0.12,1,1,0,0.3
0.0644,1,0.27,0,0.0,0,0.22,0.06999999999999999,0.157,0.8,0.03,0.0311,0.0881,low,0.12,0.01,0.15,1,0,0,0.0
0.0725,0,0.13,1,0.16,0,0.6,0.04,0.16,0.8,0.17,0.1134,0.1249,low,0.1,0.04,0.15,1,0,0,0.1
0.0589,1,0.22999999999999998,1,0.01,0,0.61,0.06,0.16,0.4,0.1,0.0429,0.0815,mid,0.13,0.07,0.02,1,0,1,0.1
0.1725,1,0.16,1,0.06,1,0.06,0.05,0.119,0.2,0.18,0.0609,0.1307,high,0.06,0.05,0.04,1,1,0,0.3
0.079,0,0.2,1,0.16,1,0.11,0.03,0.087,0.6,0.17,0.0347,0.073,high,0.06,0.01,0.02,1,0,1,0.2
0.056,0,0.05,1,0.15,0,0.5,0.03,0.159,0.2,0.2,0.1448,0.1613,mid,0.18,0.12,0.11,1,1,0,0.2
0.1347,0,0.29,0,0.05,0,0.44,0.06,0.132,0.1,0.14,0.0434,0.0967,mid,0.18,0.02,0.11,1,0,1,0.2
0.1646,1,0.22999999999999998,0,0.08,1,0.41,0.02,0.185,0.2,0.1,0.1725,0.1932,high,0.18,0.1,0.19,1,1,0,0.3
0.1253,1,0.05,1,0.05,1,0.05,0.02,0.152,0.2,0.19,0.0685,0.0714,mid,0.15,0.0,0.04,1,1,0,0.1
0.1656,0,0.1,0,0.05,1,0.34,0.01,0.166,0.3,0.07,0.088,0.1456,mid,0.15,0.12,0.14,1,1,0,0.1
0.1195,1,0.27999999999999997,0,0.01,1,0.2,0.08,0.11,0.2,0.14,0.158,0.1652,low,0.09,0.03,0.12,1,1,0,0.0
0.1514,0,0.29,0,0.0,0,0.27,0.02,0.118,0.3,0.01,0.0186,0.181,low,0.08,0.03,0.2,1,1,1,0.1
0.1723,1,0.11000000000000001,1,0.01,0,0.42,0.1,0.164,0.8,0.14,0.0202,0.1791,high,0.1,0.05,0.03,1,0,0,0.3
0.1054,1,0.18,1,0.03,1,0.4,0.08,0.196,0.7,0.1,0.0027,0.0774,mid,0.16,0.12,0.12,1,0,1,0.1
0.0578,1,0.26,1,0.02,1,0.57,0.02,0.162,0.8,0.08,0.1025,0.1433,low,0.15,0.03,0.05,1,0,1,0.0
0.0596,0,0.21000000000000002,1,0.09,0,0.64,0.08,0.111,0.8,0.15,0.0885,0.1854,high,0.16,0.13,0.1,1,0,0,0.3
0.1547,1,0.3,1,0.02,1,0.14,0.06999999999999999,0.198,0.3,0.19,0.1042,0.1832,mid,0.05,0.0,0.15,1,0,1,0.2
0.176,0,0.13999999999999999,1,0.05,0,0.63,0.08,0.127,0.8,0.19,0.1382,0.1383,mid,0.19,0.12,0.16,1,1,0,0.2
0.1654,1,0.15,1,0.0,1,0.43,0.03,0.109,0.2,0.0,0.0546,0.0629,high,0.12,0.05,0.1,1,1,0,0.3
0.1457,0,0.19,1,0.01,1,0.16,0.03,0.102,0.3,0.1,0.1013,0.1287,low,0.17,0.08,0.12,1,0,1,0.1
0.1073,1,0.05,1,0.0,0,0.51,0.05,0.145,0.7,0.0,0.069,0.0804,high,0.06,0.0,0.18,1,1,0,0.2
0.1936,0,0.21000000000000002,1,0.1,1,0.46,0.06,0.104,0.3,0.2,0.0667,0.1036,mid,0.14,0.07,0.13,1,0,0,0.2
0.0823,1,0.27,1,0.13,0,0.6,0.05,0.148,0.8,0.19,0.0822,0.1449,low,0.14,0.11,0.17,1,1,1,0.0
0.0987,0,0.13,1,0.0,1,0.61,0.04,0.107,0.3,0.09,0.0581,0.082,high,0.09,0.04,0.2,1,0,1,0.3
0.1757,0,0.05,0,0.08,0,0.49,0.05,0.18,0.6,0.14,0.0265,0.0713,mid,0.07,0.05,0.04,1,0,0,0.1
0.1063,0,0.13999999999999999,1,0.02,1,0.48,0.1,0.128,0.5,0.04,0.0127,0.0683,high,0.15,0.13,0.09,1,1,1,0.2
0.1484,0,0.3,0,0.03,0,0.12,0.06,0.134,0.3,0.05,0.0916,0.0969,low,0.14,0.04,0.2,1,1,0,0.1
0.0799,1,0.22999999999999998,0,0.01,1,0.63,0.08,0.144,0.8,0.06,0.0361,0.0975,low,0.15,0.06,0.06,1,1,1,0.0
0.1156,1,0.12,1,0.0,1,0.5,0.08,0.159,0.2,0.0,0.0322,0.0547,low,0.07,0.0,0.15,1,1,0,0.0
0.172,0,0.2,0,0.15,1,0.55,0.05,0.168,0.2,0.18,0.0753,0.1353,mid,0.14,0.02,0.05,1,1,1,0.2
0.0702,0,0.26,1,0.02,1,0.09,0.06999999999999999,0.141,0.3,0.03,0.0504,0.157,high,0.1,0.04,0.19,1,0,0,0.2
0.0616,0,0.19,1,0.13,1,0.44,0.08,0.081,0.3,0.17,0.0651,0.1618,high,0.18,0.08,0.13,1,1,0,0.3
0.1358,1,0.05,0,0.11,1,0.36,0.03,0.155,0.4,0.14,0.1565,0.1858,high,0.09,0.04,0.04,1,1,0,0.3
0.1866,0,0.13999999999999999,0,0.0,0,0.3,0.05,0.182,0.3,0.0,0.0108,0.1781,high,0.16,0.11,0.08,1,0,0,0.3
0.1242,0,0.11000000000000001,1,0.0,0,0.1,0.06,0.165,0.2,0.01,0.0459,0.1225,low,0.11,0.01,0.04,1,0,1,0.0
0.1166,0,0.15,1,0.0,1,0.43,0.08,0.08,0.4,0.01,0.0205,0.0603,high,0.07,0.01,0.07,1,1,0,0.3
0.1448,1,0.05,1,0.06,1,0.45,0.08,0.138,0.7,0.11,0.057,0.1724,high,0.13,0.11,0.02,1,1,1,0.3
0.1407,1,0.24,0,0.01,1,0.22,0.06999999999999999,0.104,0.4,0.04,0.1172,0.1217,mid,0.09,0.07,0.13,1,0,1,0.2
0.0605,0,0.1,0,0.08,1,0.09,0.01,0.142,0.3,0.16,0.016,0.1026,low,0.15,0.06,0.04,1,0,0,0.0
0.1038,0,0.12,0,0.03,0,0.43,0.06999999999999999,0.141,0.1,0.05,0.0004,0.0638,high,0.11,0.0,0.12,1,1,1,0.3
0.0797,1,0.29,1,0.04,0,0.38,0.05,0.09,0.4,0.06,0.0763,0.1413,low,0.09,0.02,0.06,1,1,0,0.0
0.0819,0,0.06,1,0.08,1,0.42,0.09,0.188,0.6,0.2,0.0339,0.1242,mid,0.05,0.04,0.13,1,0,1,0.1
0.1114,0,0.27999999999999997,0,0.04,1,0.09,0.04,0.197,0.3,0.15,0.104,0.1071,low,0.1,0.07,0.17,1,1,0,0.0
0.1234,1,0.16,1,0.01,0,0.33,0.06,0.172,0.1,0.03,0.0166,0.0778,low,0.11,0.07,0.06,1,0,1,0.0
0.1199,1,0.25,1,0.15,1,0.16,0.02,0.116,0.4,0.2,0.1168,0.1552,high,0.17,0.13,0.1,1,0,1,0.3
0.1103,0,0.1,1,0.06,0,0.29,0.06999999999999999,0.111,0.6,0.08,0.099,0.1486,mid,0.08,0.07,0.16,1,1,1,0.1
0.1589,1,0.06,1,0.0,1,0.58,0.09,0.085,0.7,0.07,0.0319,0.1206,high,0.19,0.1,0.06,1,1,1,0.3
0.0999,0,0.29,1,0.11,1,0.64,0.02,0.199,0.4,0.19,0.1397,0.1616,mid,0.14,0.11,0.16,1,1,0,0.2
0.151,1,0.09,1,0.02,0,0.45,0.09,0.18,0.5,0.03,0.0708,0.1752,high,0.09,0.06,0.11,1,1,1,0.3
0.1008,0,0.08,0,0.11,0,0.61,0.1,0.114,0.3,0.15,0.1077,0.1122,mid,0.1,0.03,0.11,1,0,0,0.1
0.1127,1,0.29,1,0.05,1,0.57,0.08,0.163,0.1,0.13,0.0928,0.1049,mid,0.11,0.05,0.17,1,1,1,0.1
0.1412,1,0.24,0,0.05,0,0.25,0.08,0.096,0.8,0.17,0.0516,0.1894,low,0.15,0.09,0.04,1,0,1,0.1
0.1496,1,0.2,1,0.04,0,0.42,0.05,0.182,0.5,0.05,0.0096,0.0741,low,0.16,0.0,0.07,1,1,1,0.0
0.1083,1,0.29,1,0.01,1,0.64,0.08,0.178,0.3,0.11,0.1025,0.1118,high,0.13,0.03,0.04,1,0,0,0.3
0.0668,0,0.05,1,0.0,0,0.03,0.01,0.155,0.5,0.13,0.0666,0.1203,high,0.09,0.05,0.08,1,1,1,0.2
0.1309,0,0.11000000000000001,1,0.0,0,0.33,0.05,0.1,0.4,0.14,0.0557,0.1402,mid,0.1,0.01,0.11,1,0,1,0.2
0.1724,0,0.2,1,0.02,1,0.57,0.05,0.177,0.3,0.05,0.1605,0.1924,high,0.19,0.03,0.16,1,1,0,0.3
0.1977,1,0.2,1,0.07,1,0.54,0.1,0.171,0.7,0.18,0.1226,0.1242,mid,0.18,0.07,0.14,1,1,0,0.2
0.0885,0,0.22999999999999998,1,0.0,1,0.15,0.04,0.103,0.7,0.0,0.0769,0.0802,low,0.16,0.1,0.05,1,1,1,0.0
0.0879,1,0.25,0,0.11,1,0.14,0.06999999999999999,0.083,0.6,0.15,0.0403,0.1105,low,0.16,0.1,0.02,1,0,1,0.0
0.1322,0,0.16999999999999998,1,0.06,0,0.07,0.08,0.14,0.3,0.09,0.0177,0.199,low,0.19,0.17,0.12,1,1,0,0.1
0.1137,1,0.1,0,0.16,0,0.07,0.1,0.196,0.3,0.19,0.0942,0.1179,high,0.13,0.05,0.12,1,1,1,0.3
0.1355,0,0.22999999999999998,0,0.1,1,0.23,0.02,0.132,0.5,0.16,0.0651,0.0891,low,0.19,0.04,0.08,1,1,0,0.0
0.1665,1,0.05,0,0.03,1,0.6,0.02,0.194,0.6,0.18,0.1572,0.1684,mid,0.18,0.17,0.14,1,0,0,0.2
0.0657,0,0.25,0,0.0,0,0.37,0.06999999999999999,0.141,0.2,0.01,0.0476,0.0961,low,0.14,0.03,0.18,1,1,0,0.0
0.0593,0,0.05,0,0.06,0,0.31,0.04,0.156,0.7,0.07,0.1233,0.1317,mid,0.06,0.02,0.07,1,0,0,0.1
0.1883,1,0.05,0,0.03,1,0.1,0.03,0.146,0.6,0.13,0.0836,0.1739,mid,0.16,0.08,0.2,1,0,0,0.3
0.1732,1,0.11000000000000001,0,0.04,1,0.12,0.08,0.119,0.8,0.09,0.0824,0.0881,low,0.16,0.07,0.11,1,0,1,0.1
0.0543,0,0.05,0,0.0,0,0.57,0.06999999999999999,0.192,0.5,0.04,0.0391,0.0984,mid,0.17,0.14,0.15,1,0,0,0.1
0.1939,1,0.27999999999999997,1,0.0,1,0.55,0.06,0.199,0.4,0.1,0.032,0.052,low,0.14,0.1,0.18,1,1,0,0.0
0.0553,0,0.24,1,0.01,1,0.08,0.05,0.121,0.7,0.03,0.0325,0.0902,low,0.11,0.04,0.08,1,1,1,0.0
0.0832,0,0.06999999999999999,1,0.02,1,0.39,0.06999999999999999,0.103,0.4,0.03,0.0125,0.1504,mid,0.05,0.02,0.11,1,0,1,0.1
0.1661,0,0.19,1,0.05,0,0.23,0.1,0.172,0.5,0.1,0.0846,0.1634,mid,0.12,0.06,0.11,1,1,1,0.3
0.1657,1,0.24,0,0.03,0,0.42,0.01,0.198,0.5,0.16,0.177,0.1796,mid,0.18,0.01,0.14,1,0,0,0.3
0.1135,1,0.2,1,0.0,0,0.46,0.03,0.083,0.1,0.04,0.0293,0.1846,high,0.19,0.17,0.09,1,1,1,0.3
0.1775,1,0.15,0,0.03,0,0.41,0.01,0.163,0.1,0.07,0.1633,0.1869,mid,0.19,0.13,0.14,1,1,1,0.3
0.0783,0,0.18,1,0.0,1,0.43,0.1,0.106,0.3,0.04,0.1198,0.1471,mid,0.16,0.04,0.18,1,1,0,0.1
0.0617,1,0.22999999999999998,0,0.0,0,0.32,0.05,0.199,0.7,0.2,0.0768,0.0874,mid,0.18,0.13,0.07,1,0,0,0.1
0.0867,0,0.13999999999999999,1,0.0,1,0.04,0.06999999999999999,0.135,0.6,0.01,0.007,0.1974,low,0.13,0.06,0.03,1,1,0,0.0
0.131,1,0.11000000000000001,1,0.13,0,0.07,0.1,0.194,0.5,0.14,0.0117,0.0513,high,0.08,0.04,0.05,1,1,0,0.2
0.1804,0,0.05,0,0.09,1,0.22,0.06,0.153,0.7,0.19,0.1158,0.1244,high,0.09,0.01,0.2,1,0,1,0.3
0.19,1,0.22999999999999998,0,0.01,1,0.18,0.02,0.089,0.7,0.09,0.1055,0.1661,high,0.12,0.01,0.13,1,1,1,0.3
0.0909,1,0.13999999999999999,0,0.0,0,0.53,0.03,0.082,0.8,0.0,0.0635,0.0973,high,0.12,0.09,0.04,1,0,0,0.2
0.1084,1,0.26,0,0.03,1,0.4,0.09,0.107,0.3,0.11,0.0322,0.0771,mid,0.15,0.04,0.1,1,1,0,0.1
0.1308,0,0.13,1,0.08,0,0.46,0.09,0.199,0.1,0.12,0.0275,0.0989,low,0.05,0.03,0.09,1,1,0,0.0
0.1778,0,0.05,0,0.0,0,0.15,0.05,0.102,0.3,0.0,0.1445,0.1954,low,0.05,0.0,0.14,1,0,0,0.1
0.1701,1,0.16,1,0.03,0,0.1,0.03,0.194,0.8,0.07,0.055,0.1338,mid,0.12,0.09,0.06,1,1,0,0.2
0.0772,1,0.24,1,0.01,1,0.1,0.05,0.08,0.4,0.02,0.1242,0.1712,high,0.18,0.11,0.04,1,1,0,0.3
0.0825,1,0.05,1,0.07,0,0.52,0.09,0.13,0.3,0.1,0.0597,0.0863,high,0.1,0.04,0.06,1,1,0,0.3
0.1379,0,0.11000000000000001,0,0.05,1,0.36,0.08,0.2,0.2,0.07,0.0538,0.1376,high,0.05,0.04,0.17,1,1,1,0.3
0.1166,0,0.2,0,0.03,1,0.25,0.08,0.198,0.5,0.04,0.0059,0.1203,mid,0.13,0.05,0.15,1,0,0,0.2
0.1659,0,0.27999999999999997,0,0.05,0,0.16,0.06,0.089,0.1,0.2,0.0819,0.0902,high,0.19,0.14,0.09,1,0,1,0.3
0.0826,1,0.24,1,0.0,1,0.58,0.03,0.088,0.4,0.01,0.0179,0.0786,high,0.09,0.03,0.18,1,0,1,0.2
0.1564,0,0.22999999999999998,0,0.04,1,0.25,0.05,0.189,0.6,0.17,0.1259,0.1965,mid,0.06,0.04,0.07,1,1,1,0.1
0.1957,0,0.09,1,0.11,0,0.31,0.06,0.181,0.3,0.16,0.0396,0.1732,high,0.12,0.0,0.07,1,0,1,0.3
0.1571,0,0.13999999999999999,0,0.0,1,0.19,0.01,0.1,0.6,0.01,0.0713,0.1398,low,0.12,0.1,0.13,1,1,0,0.0
0.1414,0,0.2,1,0.02,0,0.54,0.08,0.099,0.7,0.03,0.0262,0.0829,high,0.17,0.07,0.07,1,0,1,0.3
0.179,0,0.25,1,0.09,0,0.02,0.01,0.184,0.1,0.14,0.0622,0.0792,low,0.07,0.0,0.2,1,1,1,0.1
0.0645,0,0.05,0,0.01,0,0.41,0.1,0.197,0.7,0.1,0.0327,0.058,high,0.12,0.09,0.04,1,1,1,0.2
0.0668,0,0.29,1,0.07,0,0.3,0.02,0.195,0.8,0.12,0.0522,0.1056,mid,0.1,0.05,0.07,1,1,1,0.1
0.1652,1,0.11000000000000001,1,0.01,0,0.36,0.06999999999999999,0.089,0.4,0.05,0.0313,0.1264,mid,0.12,0.08,0.2,1,0,0,0.2
0.1213,1,0.05,0,0.0,0,0.16,0.05,0.108,0.5,0.0,0.0226,0.1248,mid,0.12,0.03,0.09,1,0,1,0.2
0.1272,1,0.25,1,0.0,0,0.22,0.09,0.133,0.6,0.08,0.0605,0.0669,mid,0.19,0.04,0.04,1,0,0,0.1
0.0866,0,0.05,1,0.05,1,0.46,0.05,0.179,0.8,0.07,0.0692,0.1686,high,0.12,0.11,0.02,1,1,1,0.3
0.0536,0,0.24,1,0.12,1,0.03,0.03,0.182,0.7,0.14,0.1386,0.1539,low,0.12,0.09,0.04,1,1,0,0.0
0.0523,0,0.26,1,0.01,0,0.14,0.01,0.155,0.8,0.02,0.0304,0.1042,low,0.09,0.01,0.09,1,1,0,0.0
0.1753,0,0.05,1,0.0,1,0.31,0.01,0.134,0.1,0.18,0.159,0.1926,low,0.17,0.0,0.17,1,0,1,0.2
0.1218,0,0.18,1,0.01,1,0.14,0.05,0.147,0.3,0.04,0.0229,0.0616,low,0.17,0.0,0.05,1,0,0,0.0
0.1537,1,0.25,0,0.04,1,0.43,0.03,0.137,0.1,0.05,0.0839,0.1131,high,0.18,0.17,0.17,1,1,1,0.3
0.0786,0,0.22000000000000003,1,0.0,0,0.33,0.05,0.141,0.7,0.06,0.0507,0.1697,mid,0.12,0.11,0.05,1,0,1,0.2
0.1678,0,0.21000000000000002,0,0.03,1,0.64,0.09,0.134,0.3,0.11,0.0436,0.0536,low,0.19,0.0,0.1,1,1,0,0.0
0.1814,0,0.13999999999999999,1,0.01,1,0.09,0.04,0.141,0.2,0.02,0.0756,0.0786,high,0.18,0.12,0.16,1,0,0,0.3
0.1101,0,0.18,0,0.0,0,0.31,0.02,0.148,0.2,0.07,0.0387,0.1269,mid,0.12,0.06,0.19,1,1,1,0.1
0.1461,0,0.24,1,0.03,1,0.4,0.05,0.141,0.7,0.04,0.1265,0.1298,high,0.16,0.01,0.04,1,0,0,0.3
0.1216,0,0.3,0,0.04,0,0.47,0.04,0.199,0.3,0.07,0.1852,0.1967,mid,0.13,0.05,0.04,1,1,1,0.2
0.0506,0,0.16,0,0.06,1,0.41,0.08,0.159,0.1,0.07,0.0875,0.1025,high,0.13,0.1,0.15,1,0,0,0.2
0.0843,1,0.05,0,0.01,1,0.56,0.01,0.147,0.5,0.17,0.014,0.08,mid,0.1,0.01,0.2,1,1,1,0.1
0.0742,0,0.22000000000000003,1,0.04,0,0.56,0.02,0.19,0.7,0.14,0.0577,0.1359,high,0.16,0.11,0.12,1,1,1,0.3
0.1692,1,0.21000000000000002,0,0.03,1,0.61,0.09,0.176,0.6,0.12,0.0975,0.1996,low,0.16,0.07,0.19,1,0,0,0.1
0.1485,0,0.1,0,0.02,1,0.32,0.06999999999999999,0.084,0.2,0.09,0.051,0.1013,mid,0.19,0.01,0.11,1,1,0,0.2
0.1547,0,0.29,1,0.06,0,0.45,0.06999999999999999,0.166,0.2,0.08,0.0583,0.059,low,0.12,0.02,0.03,1,1,1,0.0
0.1692,0,0.22999999999999998,1,0.04,1,0.46,0.09,0.139,0.1,0.06,0.0674,0.1925,low,0.16,0.1,0.06,1,1,0,0.1
0.0637,0,0.22999999999999998,0,0.03,1,0.6,0.08,0.097,0.4,0.04,0.1125,0.1989,low,0.18,0.04,0.08,1,0,1,0.0
0.1224,0,0.05,0,0.16,1,0.06,0.04,0.109,0.6,0.18,0.0747,0.0826,low,0.1,0.0,0.11,1,1,1,0.0
0.1356,0,0.27999999999999997,0,0.0,0,0.29,0.05,0.198,0.6,0.0,0.1612,0.1983,high,0.17,0.0,0.19,1,0,0,0.3
0.184,0,0.05,1,0.12,0,0.34,0.06999999999999999,0.142,0.1,0.16,0.0311,0.1545,low,0.08,0.0,0.1,1,0,0,0.1
0.1481,1,0.06999999999999999,1,0.04,1,0.37,0.06,0.096,0.5,0.13,0.0116,0.1533,high,0.1,0.05,0.16,1,1,1,0.2
0.0961,1,0.15,1,0.1,0,0.51,0.03,0.152,0.6,0.16,0.0554,0.0621,high,0.15,0.06,0.07,1,1,1,0.2
0.1296,0,0.09,1,0.0,1,0.14,0.05,0.124,0.5,0.03,0.0811,0.1272,low,0.07,0.01,0.04,1,1,1,0.0
0.1193,0,0.09,0,0.11,0,0.26,0.05,0.166,0.1,0.2,0.073,0.1729,low,0.17,0.14,0.04,1,0,1,0.0
0.1441,0,0.21000000000000002,1,0.11,1,0.03,0.01,0.118,0.8,0.17,0.0577,0.1071,mid,0.16,0.04,0.07,1,0,1,0.2
0.0517,0,0.13999999999999999,1,0.03,1,0.33,0.08,0.183,0.4,0.08,0.066,0.0974,high,0.17,0.16,0.11,1,0,1,0.3
0.0748,1,0.16999999999999998,0,0.0,1,0.27,0.09,0.15,0.8,0.04,0.045,0.1554,mid,0.18,0.09,0.07,1,0,0,0.1
0.1126,1,0.24,0,0.02,1,0.1,0.04,0.16,0.6,0.03,0.1223,0.1611,mid,0.07,0.06,0.12,1,1,1,0.2
0.1572,0,0.06,0,0.0,1,0.58,0.02,0.157,0.7,0.08,0.1109,0.1937,mid,0.12,0.08,0.1,1,0,0,0.3
0.1569,0,0.27999999999999997,1,0.16,0,0.44,0.03,0.11,0.4,0.2,0.0045,0.1942,low,0.09,0.02,0.17,1,0,0,0.1
0.127,1,0.06,1,0.02,1,0.32,0.05,0.101,0.7,0.06,0.0299,0.0845,high,0.05,0.03,0.13,1,1,0,0.3
0.1854,0,0.3,0,0.02,1,0.08,0.01,0.101,0.5,0.05,0.0506,0.0627,mid,0.17,0.04,0.2,1,1,0,0.1
0.0625,1,0.12,1,0.05,1,0.1,0.02,0.183,0.4,0.08,0.0635,0.0842,high,0.09,0.01,0.07,1,1,1,0.2
0.1577,0,0.05,1,0.0,1,0.42,0.03,0.197,0.5,0.04,0.1045,0.1737,mid,0.19,0.06,0.12,1,0,0,0.2
0.0534,0,0.05,1,0.0,1,0.16,0.1,0.189,0.5,0.01,0.0393,0.1199,high,0.16,0.12,0.2,1,0,0,0.3
0.0946,0,0.16999999999999998,1,0.08,1,0.25,0.08,0.143,0.6,0.15,0.065,0.174,mid,0.07,0.05,0.13,1,1,1,0.2
0.0685,0,0.05,0,0.02,0,0.29,0.08,0.093,0.7,0.1,0.0433,0.0648,low,0.14,0.08,0.04,1,0,1,0.0
0.1949,0,0.13,1,0.0,0,0.23,0.01,0.101,0.5,0.01,0.0839,0.1136,mid,0.14,0.08,0.2,1,0,0,0.3
0.0947,0,0.08,1,0.0,1,0.22,0.01,0.197,0.2,0.13,0.1176,0.122,high,0.16,0.12,0.02,1,0,0,0.2
0.0801,1,0.22000000000000003,1,0.02,0,0.63,0.04,0.165,0.7,0.04,0.065,0.0879,mid,0.17,0.04,0.19,1,0,1,0.1
0.0703,1,0.27,0,0.12,1,0.3,0.03,0.113,0.1,0.2,0.0218,0.1065,mid,0.14,0.07,0.07,1,0,0,0.0
0.1165,1,0.24,0,0.11,0,0.41,0.02,0.178,0.6,0.12,0.0564,0.0831,low,0.19,0.12,0.15,1,0,0,0.0
0.1082,0,0.08,0,0.0,0,0.38,0.01,0.198,0.8,0.05,0.0986,0.1191,mid,0.06,0.01,0.17,1,1,1,0.2
